Date,Channel,Campaign Name,Conversions,Spend,Revenue,CTR,CPA,ROAS,AOV,Region,Device Type,Open Rate,Bounce Rate,Creative Format,Creative Size,Season/Event,Video Length,ROI,Year,Month
2022-01-01,Paid Search,Paid Search - 3 - 2022,638.9730003,8044.855528,4255.401187,0.617977745,27.10091526,0.590474517,63.30838398,North America,Mobile,,0.190963831,Video,,Winter Sale,30s,-0.471040695,2022,January
2022-01-01,Paid Social,Paid Social - 3 - 2022,351.7541109,4601.523199,3916.704631,0.610299843,37.28719217,0.660461482,155.0290444,North America,Mobile,,,Text,728x90,Winter Sale,,-0.148824321,2022,January
2022-01-01,Paid Video,Paid Video - 2 - 2022,307.9496542,5986.720056,4092.923292,0.592211224,26.50562183,0.666279031,59.80802919,North America,Desktop,,,Text,300x250,Winter Sale,,-0.316332941,2022,January
2022-01-01,Affiliate Marketing,Affiliate Marketing - 1 - 2022,312.0064344,2757.31149,2911.790394,0.463732154,48.55128914,1.0087704,86.88697441,North America,Desktop,,,Text,320x50,Winter Sale,,0.056025191,2022,January
2022-01-01,Email Marketing,Email Marketing - 2 - 2022,524.2635096,10425.299,7910.997406,1.051532817,41.66108536,0.731244531,87.02747836,North America,Tablet,0.138960699,,Video,,Winter Sale,30s,-0.241173092,2022,January
2022-01-01,Display Ads,Display Ads - 3 - 2022,1066.8695,,,,45.50958946,0.630960294,,Europe,Tablet,,,Image,300x250,Winter Sale,,,2022,January
2022-01-01,Organic Search,Organic Search - 2 - 2022,10.29827211,,,,28.07723975,1.710399046,,Asia-Pacific,Tablet,,,Text,300x250,Winter Sale,,,2022,January
2022-01-01,Content Marketing,Content Marketing - 2 - 2022,196.6470933,,,,28.4802011,0.246144301,,North America,Mobile,,,Text,320x50,Winter Sale,,,2022,January
2022-01-02,Paid Search,Paid Search - 2 - 2022,483.8575148,9285.105636,14753.6112,1.90598045,21.78236302,1.693247956,47.57088952,Europe,Desktop,,0.445111139,Text,320x50,Winter Sale,,0.588954588,2022,January
2022-01-02,Paid Social,Paid Social - 3 - 2022,749.2653373,5834.263752,4411.406241,0.692820611,33.11913666,1.007263468,131.8993423,Asia-Pacific,Desktop,,,Image,728x90,Winter Sale,,-0.243879532,2022,January
2022-01-02,Paid Video,Paid Video - 2 - 2022,635.65975,4089.565792,7501.692173,0.981516761,42.42906624,1.708977243,85.43361679,Europe,Desktop,,,Image,300x250,Winter Sale,,0.834349306,2022,January
2022-01-02,Affiliate Marketing,Affiliate Marketing - 4 - 2022,538.944418,7794.630538,14196.11808,1.823973872,54.27656661,2.034744978,87.8417446,Asia-Pacific,Desktop,,,Video,,Winter Sale,30s,0.821268887,2022,January
2022-01-02,Email Marketing,Email Marketing - 2 - 2022,250.2627675,5514.072799,8238.112868,1.087281418,46.40435839,1.487799465,74.16247957,North America,Desktop,0.209032745,,Text,320x50,Winter Sale,,0.494015978,2022,January
2022-01-02,Display Ads,Display Ads - 3 - 2022,161.946496,,,,37.40255157,1.294640581,,North America,Mobile,,,Video,,Winter Sale,30s,,2022,January
2022-01-02,Organic Search,Organic Search - 3 - 2022,876.4222656,,,,58.25655229,0.326967865,,Asia-Pacific,Mobile,,,Text,728x90,Winter Sale,,,2022,January
2022-01-02,Content Marketing,Content Marketing - 3 - 2022,142.0181571,,,,48.92110937,1.979832913,,Asia-Pacific,Tablet,,,Image,300x250,Winter Sale,,,2022,January
2022-01-03,Paid Search,Paid Search - 1 - 2022,937.3125949,4821.611953,8455.808901,1.148320273,57.28730653,1.752034939,96.6330931,Europe,Tablet,,0.367499627,Video,,Winter Sale,30s,0.753730699,2022,January
2022-01-03,Paid Social,Paid Social - 1 - 2022,210.96464,4856.921696,9043.92632,1.155784859,41.01691108,1.632593262,39.53395388,Asia-Pacific,Desktop,,,Video,,Winter Sale,30s,0.862069616,2022,January
2022-01-03,Paid Video,Paid Video - 2 - 2022,439.0410115,4473.643213,6388.251657,0.846679329,30.03987954,1.217820521,47.1845244,Asia-Pacific,Tablet,,,Image,300x250,Winter Sale,,0.427975221,2022,January
2022-01-03,Affiliate Marketing,Affiliate Marketing - 4 - 2022,736.7922239,4025.037245,3670.497856,0.487555633,22.03383304,0.881705301,72.62209487,Asia-Pacific,Mobile,,,Image,300x250,Winter Sale,,-0.088083505,2022,January
